sport_type,day_of_week,start_hour,price,month,is_weekend,previous_booking_count,field_capacity,demand_level
bóng đá,4,9,510000,3,0,11,18,MEDIUM
bóng đá,0,16,650000,9,0,16,12,MEDIUM
bóng đá,2,8,540000,4,0,6,14,LOW
cầu lông,0,6,180000,12,0,9,2,LOW
bóng đá,6,13,750000,4,1,11,12,MEDIUM
bóng đá,3,16,770000,9,0,4,16,LOW
pickleball,6,15,280000,8,1,12,4,MEDIUM
pickleball,4,7,200000,11,0,18,4,MEDIUM
bóng rổ,5,18,560000,4,1,13,12,MEDIUM
bóng rổ,4,11,460000,4,0,6,16,LOW
bóng đá,6,15,750000,4,1,11,16,MEDIUM
bóng đá,2,15,710000,1,0,10,18,LOW
bóng đá,2,9,760000,2,0,10,14,LOW
bóng đá,5,19,860000,5,1,22,14,HIGH
cầu lông,4,20,160000,1,0,14,6,HIGH
bóng rổ,5,20,520000,10,1,18,12,HIGH
pickleball,4,15,260000,8,0,9,2,LOW
pickleball,0,21,310000,6,0,13,8,MEDIUM
bóng đá,3,7,730000,12,0,12,14,MEDIUM
bóng đá,1,10,570000,8,0,14,16,MEDIUM
tennis,4,10,400000,2,0,9,2,LOW
bóng đá,0,9,620000,8,0,13,14,MEDIUM
bóng đá,3,11,570000,10,0,14,16,MEDIUM
bóng đá,5,9,700000,2,1,12,18,MEDIUM
bóng đá,6,18,710000,12,1,27,12,HIGH
cầu lông,3,8,180000,5,0,12,6,MEDIUM
bóng rổ,3,9,350000,9,0,7,14,LOW
tennis,5,9,340000,2,1,7,6,LOW
bóng rổ,4,6,400000,12,0,1,10,LOW
pickleball,6,15,280000,10,1,15,2,HIGH
cầu lông,3,11,200000,11,0,6,4,LOW
bóng đá,6,19,770000,6,1,21,14,HIGH
cầu lông,2,21,170000,2,0,9,4,LOW
bóng đá,3,18,870000,3,0,13,14,MEDIUM
cầu lông,3,17,220000,11,0,11,4,MEDIUM
cầu lông,2,21,210000,9,0,13,2,MEDIUM
bóng đá,0,18,650000,12,0,18,18,HIGH
bóng đá,0,20,780000,3,0,13,14,MEDIUM
pickleball,1,8,220000,5,0,7,4,LOW
bóng đá,4,9,550000,7,0,17,18,HIGH
bóng rổ,1,19,430000,11,0,15,16,HIGH
pickleball,5,13,250000,3,1,12,4,MEDIUM
bóng rổ,4,17,460000,1,0,11,16,MEDIUM
pickleball,3,17,280000,6,0,15,8,MEDIUM
tennis,4,18,420000,1,0,9,8,MEDIUM
pickleball,1,7,220000,12,0,8,4,LOW
bóng đá,6,8,620000,6,1,10,12,MEDIUM
bóng rổ,4,19,490000,3,0,15,12,MEDIUM
bóng rổ,5,16,420000,1,1,11,12,MEDIUM
pickleball,2,9,270000,10,0,5,6,LOW
pickleball,2,19,270000,8,0,13,4,MEDIUM
bóng rổ,6,15,380000,4,1,15,14,MEDIUM
cầu lông,5,7,230000,1,1,9,4,MEDIUM
cầu lông,3,19,240000,7,0,11,8,LOW
bóng đá,2,8,800000,10,0,11,14,MEDIUM
bóng rổ,5,17,560000,7,1,10,14,MEDIUM
bóng đá,6,19,880000,2,1,10,18,MEDIUM
bóng rổ,5,20,570000,12,1,13,12,MEDIUM
pickleball,5,21,330000,2,1,18,4,HIGH
bóng rổ,2,20,400000,11,0,14,14,MEDIUM
pickleball,0,7,200000,12,0,8,4,LOW
cầu lông,6,18,240000,12,1,14,4,MEDIUM
bóng đá,6,10,570000,7,1,16,14,HIGH
cầu lông,6,11,210000,2,1,11,8,MEDIUM
bóng đá,6,18,810000,10,1,19,14,HIGH
bóng rổ,2,17,510000,9,0,12,14,MEDIUM
bóng đá,2,17,820000,10,0,18,14,HIGH
cầu lông,2,18,170000,4,0,9,4,LOW
bóng đá,2,19,670000,7,0,18,14,HIGH
bóng đá,4,17,680000,11,0,15,18,MEDIUM
bóng đá,4,16,760000,7,0,9,16,LOW
bóng đá,6,7,710000,12,1,19,14,HIGH
bóng đá,3,7,730000,8,0,14,14,MEDIUM
tennis,2,10,370000,2,0,4,2,LOW
bóng đá,0,13,760000,9,0,9,16,LOW
bóng đá,6,9,850000,5,1,20,14,HIGH
cầu lông,3,6,150000,11,0,6,6,LOW
pickleball,5,18,330000,7,1,15,4,HIGH
cầu lông,3,11,190000,4,0,8,4,LOW
pickleball,1,7,220000,8,0,8,8,LOW
bóng đá,3,18,750000,5,0,21,16,HIGH
bóng đá,1,7,720000,6,0,14,14,MEDIUM
cầu lông,3,7,150000,6,0,6,8,LOW
tennis,3,19,450000,3,0,8,4,LOW
bóng đá,5,21,840000,7,1,32,14,HIGH
bóng rổ,2,17,500000,11,0,16,12,HIGH
bóng đá,2,21,780000,5,0,16,16,HIGH
bóng rổ,6,17,410000,2,1,19,12,HIGH
bóng đá,3,16,510000,1,0,14,14,MEDIUM
bóng đá,4,19,860000,12,0,11,12,MEDIUM
cầu lông,0,8,210000,6,0,8,6,LOW
cầu lông,6,8,190000,10,1,9,4,MEDIUM
pickleball,5,6,270000,3,1,3,4,LOW
bóng rổ,5,9,530000,11,1,10,12,LOW
bóng đá,0,9,510000,4,0,17,12,MEDIUM
cầu lông,1,14,150000,9,0,5,4,LOW
cầu lông,0,14,190000,3,0,7,2,LOW
bóng rổ,4,20,560000,9,0,16,12,HIGH
bóng đá,0,18,640000,5,0,9,14,MEDIUM
tennis,6,9,310000,6,1,15,4,MEDIUM
bóng rổ,1,7,390000,5,0,4,12,LOW
bóng đá,4,11,570000,4,0,19,14,MEDIUM
bóng đá,5,8,750000,2,1,16,14,HIGH
pickleball,5,19,250000,10,1,19,6,HIGH
bóng đá,3,7,620000,6,0,14,14,MEDIUM
bóng rổ,3,16,440000,8,0,12,12,MEDIUM
bóng rổ,4,19,490000,3,0,14,14,MEDIUM
bóng đá,4,16,660000,11,0,15,14,HIGH
cầu lông,2,17,220000,6,0,10,4,MEDIUM
bóng đá,2,7,700000,2,0,14,18,MEDIUM
bóng đá,4,18,700000,7,0,12,18,HIGH
bóng đá,1,8,650000,7,0,12,14,MEDIUM
pickleball,6,19,230000,6,1,14,4,HIGH
pickleball,2,18,300000,6,0,10,4,MEDIUM
bóng đá,1,21,830000,12,0,17,14,HIGH
cầu lông,1,20,200000,4,0,14,8,MEDIUM
pickleball,3,7,240000,2,0,6,2,LOW
bóng đá,1,19,800000,1,0,12,12,MEDIUM
tennis,4,15,420000,4,0,11,4,LOW
bóng đá,5,10,590000,6,1,15,18,MEDIUM
bóng đá,0,20,610000,9,0,13,14,HIGH
bóng đá,5,17,750000,2,1,19,16,HIGH
bóng đá,1,20,620000,5,0,10,18,HIGH
cầu lông,5,16,190000,1,1,21,4,HIGH
cầu lông,1,14,170000,6,0,17,4,MEDIUM
cầu lông,6,18,240000,7,1,17,4,HIGH
cầu lông,1,17,170000,3,0,15,4,MEDIUM
bóng đá,2,18,800000,10,0,20,14,HIGH
pickleball,3,8,250000,4,0,9,4,LOW
bóng đá,5,17,900000,2,1,14,12,MEDIUM
bóng rổ,0,6,470000,3,0,10,12,LOW
bóng đá,5,15,670000,4,1,14,12,MEDIUM
bóng đá,4,17,660000,11,0,14,18,HIGH
cầu lông,5,19,180000,9,1,20,8,HIGH
cầu lông,0,19,200000,9,0,10,4,MEDIUM
tennis,1,19,350000,9,0,10,4,MEDIUM
tennis,4,17,440000,4,0,14,4,LOW
cầu lông,6,21,170000,1,1,17,4,HIGH
cầu lông,3,14,200000,3,0,10,4,LOW
pickleball,5,16,270000,2,1,12,2,MEDIUM
cầu lông,1,20,240000,7,0,17,4,MEDIUM
bóng rổ,0,9,530000,10,0,7,14,LOW
bóng đá,6,14,860000,3,1,8,14,LOW
cầu lông,4,8,220000,7,0,12,4,MEDIUM
pickleball,6,9,220000,1,1,11,4,MEDIUM
cầu lông,6,8,210000,6,1,20,4,HIGH
cầu lông,4,20,210000,8,0,16,4,MEDIUM
bóng rổ,4,19,520000,3,0,16,12,MEDIUM
cầu lông,5,6,210000,4,1,12,4,LOW
pickleball,3,11,220000,10,0,4,4,LOW
tennis,0,20,310000,2,0,7,4,LOW
cầu lông,5,21,240000,2,1,10,2,MEDIUM
bóng đá,4,11,570000,10,0,12,14,MEDIUM
bóng đá,4,17,600000,8,0,20,18,HIGH
tennis,0,6,290000,5,0,5,8,LOW
bóng rổ,6,18,460000,7,1,16,16,HIGH
pickleball,3,15,250000,10,0,11,4,LOW
bóng đá,3,20,630000,5,0,17,14,HIGH
pickleball,5,17,230000,11,1,17,4,HIGH
cầu lông,6,14,210000,1,1,13,4,MEDIUM
bóng đá,2,16,700000,6,0,8,14,LOW
pickleball,1,18,300000,11,0,15,4,MEDIUM
bóng rổ,2,15,390000,6,0,5,10,LOW
tennis,5,20,500000,7,1,18,4,HIGH
bóng rổ,1,14,350000,10,0,3,12,LOW
cầu lông,0,18,230000,10,0,12,4,MEDIUM
cầu lông,6,7,210000,3,1,14,2,MEDIUM
pickleball,5,14,320000,4,1,13,4,MEDIUM
cầu lông,5,17,200000,5,1,15,2,HIGH
bóng đá,2,17,810000,7,0,16,14,MEDIUM
cầu lông,5,18,210000,4,1,17,4,HIGH
bóng rổ,5,15,430000,12,1,13,10,MEDIUM
tennis,5,21,360000,7,1,14,4,MEDIUM
bóng đá,2,10,550000,9,0,12,14,MEDIUM
bóng rổ,6,16,530000,12,1,12,14,MEDIUM
cầu lông,4,11,160000,7,0,12,4,MEDIUM
bóng đá,2,21,690000,12,0,14,14,MEDIUM
bóng đá,0,10,800000,3,0,6,14,LOW
cầu lông,3,14,140000,7,0,9,8,MEDIUM
bóng đá,2,18,860000,12,0,14,12,MEDIUM
cầu lông,4,18,180000,4,0,14,8,MEDIUM
bóng đá,0,20,730000,2,0,24,12,HIGH
cầu lông,0,19,210000,6,0,17,4,HIGH
bóng rổ,5,17,470000,2,1,18,12,HIGH
cầu lông,1,11,200000,3,0,12,8,MEDIUM
bóng rổ,3,19,510000,12,0,15,12,MEDIUM
bóng rổ,4,8,350000,12,0,10,16,LOW
bóng rổ,3,19,560000,10,0,10,12,MEDIUM
bóng đá,4,10,820000,10,0,14,12,MEDIUM
tennis,6,18,330000,12,1,15,4,HIGH
bóng đá,0,20,830000,4,0,15,18,MEDIUM
pickleball,5,19,280000,7,1,24,6,HIGH
cầu lông,5,7,150000,10,1,10,2,LOW
pickleball,3,16,210000,10,0,6,4,LOW
bóng đá,3,18,590000,2,0,17,14,MEDIUM
pickleball,1,14,260000,2,0,9,4,LOW
bóng đá,6,11,800000,1,1,7,18,LOW
cầu lông,5,18,210000,1,1,13,6,MEDIUM
cầu lông,5,21,220000,3,1,20,6,HIGH
bóng đá,5,14,810000,2,1,14,14,MEDIUM
bóng rổ,0,16,380000,4,0,3,14,LOW
bóng đá,4,18,610000,5,0,17,12,HIGH
bóng rổ,4,17,410000,9,0,11,12,MEDIUM
bóng đá,4,20,840000,4,0,13,18,MEDIUM
cầu lông,3,9,220000,8,0,10,4,MEDIUM
tennis,5,18,510000,5,1,15,6,HIGH
tennis,0,20,340000,9,0,18,8,MEDIUM
bóng rổ,4,21,400000,6,0,12,14,MEDIUM
bóng đá,1,17,680000,7,0,19,12,HIGH
pickleball,0,14,210000,12,0,7,8,LOW
cầu lông,3,17,240000,4,0,13,4,MEDIUM
tennis,0,15,390000,10,0,2,6,LOW
cầu lông,0,9,160000,1,0,11,2,LOW
bóng rổ,3,6,450000,9,0,6,10,LOW
cầu lông,3,16,180000,8,0,16,4,MEDIUM
bóng đá,6,19,770000,10,1,19,18,HIGH
cầu lông,2,20,240000,8,0,12,4,MEDIUM
tennis,0,15,450000,3,0,6,6,LOW
tennis,6,17,380000,2,1,10,2,MEDIUM
bóng rổ,5,18,520000,8,1,18,16,HIGH
cầu lông,2,16,160000,7,0,8,8,LOW
cầu lông,6,7,180000,9,1,18,4,HIGH
cầu lông,0,15,220000,4,0,11,4,LOW
cầu lông,0,16,180000,1,0,5,4,LOW
tennis,1,11,420000,2,0,7,4,LOW
bóng đá,6,17,640000,1,1,24,18,HIGH
pickleball,2,14,300000,6,0,9,4,LOW
tennis,0,8,320000,6,0,3,4,LOW
pickleball,6,15,230000,11,1,16,4,MEDIUM
cầu lông,2,21,170000,10,0,13,2,MEDIUM
tennis,5,17,360000,2,1,15,2,HIGH
bóng đá,6,10,780000,2,1,12,12,MEDIUM
pickleball,3,17,220000,2,0,15,8,MEDIUM
bóng đá,0,10,720000,6,0,8,14,LOW
cầu lông,4,16,220000,6,0,12,4,MEDIUM
bóng đá,6,19,860000,1,1,20,14,HIGH
cầu lông,2,17,190000,5,0,14,4,MEDIUM
pickleball,6,19,250000,1,1,14,4,HIGH
bóng đá,0,21,720000,1,0,19,14,HIGH
cầu lông,4,9,140000,7,0,15,6,MEDIUM
cầu lông,0,9,180000,6,0,7,6,LOW
pickleball,0,19,320000,8,0,9,4,MEDIUM
bóng rổ,1,17,370000,12,0,10,12,MEDIUM
pickleball,0,13,300000,7,0,7,6,LOW
cầu lông,4,20,170000,11,0,19,2,HIGH
pickleball,3,18,210000,12,0,7,2,LOW
pickleball,4,6,300000,1,0,11,8,LOW
bóng rổ,5,13,470000,12,1,14,16,MEDIUM
pickleball,0,17,250000,7,0,18,6,HIGH
tennis,6,15,310000,2,1,10,6,LOW
pickleball,6,19,320000,1,1,17,4,HIGH
bóng đá,4,21,570000,9,0,16,14,HIGH
cầu lông,4,18,190000,9,0,10,8,MEDIUM
pickleball,2,17,270000,11,0,17,4,MEDIUM
pickleball,6,21,310000,8,1,12,4,MEDIUM
cầu lông,2,9,200000,7,0,14,8,LOW
cầu lông,0,15,190000,1,0,8,8,LOW
cầu lông,3,9,190000,10,0,8,4,LOW
tennis,3,10,390000,6,0,6,4,LOW
cầu lông,1,11,200000,2,0,12,4,LOW
pickleball,3,11,300000,11,0,8,6,LOW
bóng rổ,1,19,380000,4,0,14,10,MEDIUM
pickleball,2,15,220000,9,0,12,4,MEDIUM
bóng đá,4,18,840000,10,0,18,14,HIGH
bóng đá,6,19,660000,3,1,16,16,HIGH
cầu lông,4,7,170000,4,0,11,8,LOW
pickleball,4,19,230000,3,0,9,2,LOW
bóng đá,6,18,830000,5,1,17,16,MEDIUM
cầu lông,6,11,160000,11,1,6,2,LOW
bóng đá,1,18,750000,6,0,17,14,HIGH
bóng đá,5,10,780000,10,1,11,16,MEDIUM
bóng đá,4,19,620000,11,0,15,14,HIGH
tennis,6,7,360000,1,1,9,6,MEDIUM
cầu lông,4,10,230000,10,0,9,4,LOW
cầu lông,4,21,230000,8,0,10,2,LOW
pickleball,3,15,240000,2,0,13,2,MEDIUM
tennis,5,17,440000,4,1,7,2,MEDIUM
bóng đá,2,18,780000,1,0,11,14,MEDIUM
bóng rổ,0,21,550000,4,0,11,16,LOW
pickleball,4,19,240000,1,0,16,2,HIGH
pickleball,4,11,260000,2,0,7,4,LOW
bóng đá,1,20,690000,3,0,21,16,HIGH
pickleball,2,19,320000,12,0,18,4,MEDIUM
bóng đá,0,9,820000,2,0,11,14,LOW
pickleball,6,6,260000,4,1,15,4,MEDIUM
bóng rổ,5,18,380000,4,1,17,16,HIGH
tennis,1,14,350000,9,0,6,8,LOW
bóng rổ,5,14,350000,1,1,12,12,LOW
cầu lông,0,8,200000,6,0,18,4,MEDIUM
bóng đá,6,19,630000,3,1,27,14,HIGH
bóng đá,1,15,650000,12,0,12,16,MEDIUM
bóng đá,6,21,780000,10,1,20,14,HIGH
pickleball,6,9,240000,12,1,12,6,MEDIUM
pickleball,0,20,260000,6,0,8,2,MEDIUM
bóng đá,5,19,600000,3,1,21,16,HIGH
bóng rổ,1,13,530000,5,0,12,12,LOW
cầu lông,5,18,250000,9,1,15,2,HIGH
bóng đá,5,17,680000,1,1,16,14,HIGH
cầu lông,5,17,240000,8,1,14,8,HIGH
cầu lông,0,20,180000,9,0,17,4,MEDIUM
cầu lông,3,10,220000,7,0,11,6,LOW
cầu lông,4,11,220000,4,0,11,4,LOW
cầu lông,5,10,150000,8,1,12,2,MEDIUM
bóng rổ,6,15,480000,11,1,10,12,LOW
cầu lông,0,18,160000,12,0,14,6,MEDIUM
cầu lông,5,13,230000,10,1,15,6,MEDIUM
bóng đá,5,9,610000,9,1,22,14,HIGH
bóng rổ,1,8,340000,11,0,10,16,LOW
bóng đá,3,9,760000,5,0,14,14,MEDIUM
bóng rổ,1,8,420000,7,0,13,12,MEDIUM
pickleball,5,16,260000,4,1,13,4,MEDIUM
cầu lông,0,14,140000,5,0,8,8,MEDIUM
tennis,1,10,340000,5,0,9,8,LOW
pickleball,1,13,270000,2,0,6,8,LOW
tennis,5,10,400000,6,1,12,4,MEDIUM
pickleball,1,15,260000,5,0,12,2,MEDIUM
cầu lông,3,17,160000,10,0,14,2,MEDIUM
pickleball,0,10,300000,9,0,10,6,LOW
tennis,3,8,380000,5,0,10,4,LOW
bóng đá,0,21,740000,5,0,17,14,HIGH
cầu lông,2,18,240000,6,0,14,8,MEDIUM
bóng đá,5,19,650000,9,1,26,14,HIGH
pickleball,4,18,240000,9,0,13,4,MEDIUM
pickleball,0,14,190000,12,0,11,8,LOW
bóng rổ,5,19,580000,10,1,14,12,MEDIUM
cầu lông,1,15,150000,1,0,7,4,LOW
bóng đá,3,21,740000,1,0,21,12,HIGH
bóng rổ,6,18,490000,5,1,16,16,HIGH
cầu lông,2,19,180000,6,0,13,4,MEDIUM
cầu lông,1,19,220000,1,0,17,4,MEDIUM
pickleball,5,19,330000,1,1,20,8,HIGH
bóng rổ,2,9,490000,8,0,3,12,LOW
bóng rổ,2,11,440000,9,0,11,10,LOW
cầu lông,0,15,220000,9,0,8,8,LOW
bóng đá,5,21,650000,2,1,12,14,MEDIUM
pickleball,0,17,300000,11,0,17,4,HIGH
bóng rổ,2,19,390000,8,0,15,12,MEDIUM
bóng đá,4,13,590000,11,0,9,18,LOW
cầu lông,4,16,190000,11,0,11,2,LOW
bóng đá,2,14,670000,7,0,8,18,LOW
cầu lông,4,20,220000,1,0,13,8,MEDIUM
cầu lông,4,17,240000,1,0,5,4,LOW
cầu lông,6,19,180000,3,1,13,4,HIGH
bóng đá,5,18,650000,8,1,20,12,HIGH
pickleball,1,10,190000,8,0,12,8,MEDIUM
cầu lông,2,17,210000,10,0,13,8,MEDIUM
cầu lông,4,15,170000,4,0,4,4,LOW
bóng rổ,2,16,430000,2,0,7,12,LOW
cầu lông,2,11,230000,4,0,9,4,LOW
tennis,1,18,330000,1,0,14,6,MEDIUM
tennis,2,11,430000,11,0,3,6,LOW
bóng đá,3,19,680000,9,0,15,12,HIGH
bóng đá,2,17,710000,4,0,11,12,MEDIUM
bóng đá,2,14,760000,8,0,14,12,MEDIUM
bóng đá,4,10,750000,1,0,11,16,MEDIUM
pickleball,3,8,270000,9,0,11,4,LOW
tennis,6,15,440000,7,1,12,6,MEDIUM
cầu lông,3,19,180000,10,0,8,6,MEDIUM
cầu lông,1,17,210000,3,0,7,8,LOW
tennis,2,17,480000,12,0,5,8,LOW
tennis,0,9,410000,9,0,7,2,LOW
bóng rổ,1,19,480000,6,0,11,12,LOW
cầu lông,4,9,210000,8,0,7,4,LOW
pickleball,6,17,310000,5,1,15,8,HIGH
pickleball,0,15,290000,5,0,11,4,MEDIUM
pickleball,6,21,230000,7,1,9,4,MEDIUM
cầu lông,2,18,220000,1,0,16,2,MEDIUM
bóng đá,1,19,750000,11,0,17,14,HIGH
pickleball,1,9,250000,5,0,6,4,LOW
pickleball,1,10,240000,12,0,7,4,LOW
cầu lông,1,6,140000,11,0,9,2,LOW
bóng đá,3,19,640000,4,0,18,14,HIGH
bóng đá,3,13,570000,3,0,9,14,LOW
cầu lông,6,10,190000,5,1,12,8,MEDIUM
cầu lông,1,18,180000,7,0,13,6,MEDIUM
pickleball,3,15,260000,11,0,8,6,LOW
bóng đá,3,19,560000,12,0,25,14,HIGH
bóng đá,3,7,740000,2,0,13,12,MEDIUM
bóng đá,1,17,780000,4,0,15,16,MEDIUM
bóng rổ,4,15,390000,5,0,11,12,MEDIUM
bóng đá,1,18,740000,12,0,17,14,MEDIUM
bóng rổ,4,13,420000,12,0,6,14,LOW
pickleball,2,21,210000,6,0,11,4,MEDIUM
bóng đá,0,18,690000,11,0,20,14,HIGH
pickleball,3,21,290000,4,0,19,4,HIGH
pickleball,3,8,200000,12,0,10,2,LOW
bóng rổ,0,7,500000,4,0,12,16,LOW
cầu lông,5,10,200000,3,1,13,6,MEDIUM
cầu lông,4,14,170000,3,0,8,8,LOW
bóng đá,0,11,640000,1,0,15,12,MEDIUM
cầu lông,2,10,180000,2,0,12,4,LOW
pickleball,5,16,300000,1,1,12,4,MEDIUM
bóng rổ,6,20,560000,8,1,22,12,HIGH
bóng rổ,6,18,470000,5,1,10,12,MEDIUM
bóng đá,2,16,550000,9,0,12,14,MEDIUM
bóng đá,3,7,650000,1,0,14,16,MEDIUM
bóng đá,0,14,660000,5,0,12,12,MEDIUM
cầu lông,0,20,200000,1,0,15,4,MEDIUM
bóng rổ,3,9,520000,2,0,4,16,LOW
cầu lông,6,7,190000,7,1,12,6,MEDIUM
tennis,0,19,430000,12,0,12,4,MEDIUM
cầu lông,3,16,220000,8,0,9,4,LOW
cầu lông,1,19,170000,3,0,20,4,HIGH
tennis,0,21,490000,11,0,14,8,LOW
cầu lông,0,7,170000,9,0,10,4,LOW
pickleball,4,16,230000,1,0,8,4,LOW
tennis,2,10,410000,10,0,8,4,LOW
pickleball,3,7,210000,4,0,11,8,LOW
bóng đá,4,17,690000,11,0,14,12,MEDIUM
bóng đá,6,15,800000,3,1,16,12,MEDIUM
bóng đá,5,6,840000,7,1,15,14,MEDIUM
bóng đá,2,11,810000,9,0,12,14,MEDIUM
cầu lông,6,8,160000,10,1,14,4,MEDIUM
cầu lông,4,7,190000,6,0,8,4,LOW
cầu lông,1,6,210000,1,0,10,4,LOW
pickleball,4,18,260000,1,0,7,4,LOW
cầu lông,0,11,160000,10,0,12,8,LOW
cầu lông,3,16,200000,6,0,9,8,LOW
pickleball,0,18,270000,10,0,15,4,MEDIUM
bóng rổ,3,8,330000,10,0,12,12,LOW
bóng đá,1,19,780000,8,0,11,14,MEDIUM
bóng đá,5,16,630000,10,1,17,14,HIGH
cầu lông,3,17,180000,3,0,20,4,HIGH
cầu lông,4,11,190000,9,0,8,4,LOW
pickleball,2,11,190000,1,0,8,6,LOW
pickleball,0,19,320000,9,0,11,4,LOW
pickleball,0,19,270000,8,0,11,2,MEDIUM
cầu lông,6,20,180000,6,1,18,8,HIGH
bóng đá,5,10,740000,12,1,17,14,HIGH
bóng rổ,1,9,360000,6,0,10,12,LOW
bóng rổ,5,17,490000,1,1,9,10,MEDIUM
bóng đá,0,18,860000,5,0,27,14,HIGH
pickleball,2,18,270000,3,0,22,2,HIGH
bóng rổ,4,17,380000,11,0,7,14,LOW
bóng đá,4,18,780000,5,0,16,14,HIGH
bóng rổ,0,17,380000,10,0,9,12,MEDIUM
bóng đá,0,15,690000,8,0,14,14,MEDIUM
bóng đá,1,18,830000,8,0,8,12,MEDIUM
pickleball,0,17,290000,4,0,16,4,MEDIUM
bóng rổ,0,16,530000,12,0,8,12,LOW
cầu lông,4,14,150000,12,0,6,2,LOW
bóng đá,4,21,790000,9,0,18,16,HIGH
cầu lông,1,18,210000,12,0,10,4,MEDIUM
bóng đá,0,9,790000,10,0,16,16,MEDIUM
cầu lông,0,10,210000,7,0,11,4,LOW
bóng đá,1,21,870000,11,0,21,16,HIGH
cầu lông,0,8,140000,5,0,8,4,LOW
bóng đá,5,16,560000,1,1,11,12,MEDIUM
cầu lông,5,15,160000,6,1,8,4,MEDIUM
bóng đá,0,8,770000,7,0,15,14,MEDIUM
pickleball,3,6,270000,10,0,4,8,LOW
cầu lông,6,19,220000,4,1,13,4,MEDIUM
bóng đá,1,21,750000,5,0,12,14,MEDIUM
bóng rổ,0,17,500000,4,0,11,12,MEDIUM
tennis,1,20,480000,8,0,15,8,MEDIUM
bóng đá,6,16,560000,11,1,18,14,HIGH
pickleball,3,19,270000,1,0,11,8,MEDIUM
tennis,1,15,370000,5,0,9,2,LOW
bóng đá,0,18,630000,7,0,12,16,MEDIUM
bóng đá,6,7,550000,4,1,10,12,MEDIUM
bóng đá,1,7,740000,5,0,13,14,MEDIUM
tennis,1,16,290000,3,0,6,2,LOW
cầu lông,0,19,200000,11,0,19,4,HIGH
pickleball,2,16,210000,6,0,10,4,MEDIUM
tennis,0,6,320000,11,0,7,4,LOW
cầu lông,3,7,200000,5,0,6,4,LOW
cầu lông,0,17,150000,2,0,5,4,LOW
pickleball,5,11,300000,5,1,10,4,LOW
bóng đá,1,10,620000,5,0,7,14,MEDIUM
tennis,1,7,410000,7,0,8,6,LOW
bóng đá,2,18,790000,3,0,15,12,MEDIUM
cầu lông,3,8,190000,11,0,9,8,LOW
bóng đá,0,21,820000,2,0,17,14,HIGH
bóng rổ,3,10,500000,5,0,11,12,LOW
bóng rổ,1,6,530000,7,0,11,12,LOW
cầu lông,0,9,150000,8,0,9,4,LOW
bóng đá,2,17,650000,12,0,14,14,MEDIUM
bóng đá,2,16,630000,5,0,10,14,MEDIUM
tennis,1,10,350000,9,0,2,4,LOW
cầu lông,6,17,250000,6,1,7,6,MEDIUM
bóng rổ,3,11,520000,10,0,6,12,LOW
bóng rổ,1,19,570000,7,0,16,12,HIGH
pickleball,6,17,280000,8,1,18,4,HIGH
cầu lông,4,18,160000,9,0,15,4,MEDIUM
cầu lông,5,9,220000,11,1,17,4,HIGH
pickleball,0,21,270000,2,0,10,4,MEDIUM
cầu lông,2,9,220000,10,0,11,6,LOW
bóng rổ,1,9,530000,10,0,6,10,LOW
pickleball,6,18,330000,10,1,14,4,MEDIUM
cầu lông,6,14,190000,6,1,17,4,HIGH
cầu lông,2,13,170000,6,0,4,4,LOW
bóng đá,0,20,830000,4,0,9,14,MEDIUM
bóng đá,2,18,560000,9,0,13,14,MEDIUM
bóng đá,5,20,750000,9,1,17,14,HIGH
bóng đá,1,14,760000,5,0,10,14,MEDIUM
bóng đá,2,15,820000,1,0,12,14,LOW
pickleball,6,9,310000,11,1,13,8,MEDIUM
bóng rổ,1,19,540000,5,0,10,10,MEDIUM
bóng đá,1,7,620000,1,0,6,14,LOW
pickleball,1,13,270000,9,0,3,2,LOW
tennis,5,19,450000,8,1,14,2,MEDIUM
bóng đá,3,14,730000,12,0,14,14,MEDIUM
bóng đá,0,19,790000,9,0,18,16,MEDIUM
tennis,5,7,440000,8,1,9,2,MEDIUM
bóng đá,6,11,660000,10,1,18,16,HIGH
bóng đá,2,14,520000,3,0,9,14,LOW
bóng đá,4,19,660000,12,0,13,12,MEDIUM
cầu lông,6,19,190000,10,1,27,8,HIGH
cầu lông,0,13,230000,6,0,10,4,LOW
cầu lông,4,10,200000,9,0,9,8,LOW
bóng rổ,6,11,460000,12,1,12,12,MEDIUM
cầu lông,6,18,210000,6,1,12,2,MEDIUM
pickleball,1,20,320000,9,0,11,4,MEDIUM
cầu lông,2,17,180000,11,0,10,4,MEDIUM
cầu lông,1,15,200000,11,0,7,4,LOW
bóng đá,5,15,720000,12,1,19,18,HIGH
pickleball,3,16,210000,4,0,12,8,MEDIUM
cầu lông,5,10,220000,1,1,9,8,LOW
bóng đá,6,6,550000,7,1,17,18,HIGH
cầu lông,5,18,230000,2,1,11,4,MEDIUM
bóng rổ,2,18,440000,7,0,12,12,MEDIUM
pickleball,6,17,240000,12,1,18,2,HIGH
bóng rổ,6,11,380000,8,1,12,14,MEDIUM
pickleball,3,8,260000,12,0,5,4,LOW
bóng đá,4,15,710000,10,0,12,14,MEDIUM
bóng đá,1,10,630000,7,0,11,18,MEDIUM
bóng rổ,6,7,360000,7,1,16,16,HIGH
pickleball,1,10,270000,4,0,8,6,LOW
pickleball,0,10,220000,5,0,10,4,MEDIUM
pickleball,4,7,200000,4,0,10,4,LOW
